Date,BAC,CI,CL,COST,CVX,GS,HD,JPM,KO,LOW,MA,MCD,MS,PEP,PG,UNH,V,WMT,XOM,YUM
2021-08-26,37.19538116455078,189.5148162841797,68.62291717529297,425.7987976074219,79.56092834472656,365.3588562011719,283.8603820800781,142.72923278808594,47.90370178222656,186.66819763183594,342.57623291015625,211.23797607421875,88.55475616455078,131.9862823486328,125.25189208984375,381.8373107910156,221.950439453125,46.138885498046875,45.91412353515625,120.09087371826172
2021-08-27,37.593528747558594,192.15065002441406,68.73832702636719,426.77490234375,80.72301483154297,371.8083190917969,285.5380554199219,143.8763427734375,47.99858093261719,186.89515686035156,345.3625183105469,211.71043395996094,89.92774963378906,132.25091552734375,125.1551513671875,383.5869140625,224.03973388671875,45.87899398803711,46.8036994934082,120.36505889892578
2021-08-30,36.85917663574219,189.2229766845703,68.92471313476562,432.0723876953125,80.51840209960938,366.4130859375,288.82275390625,141.57327270507812,48.45570755004883,186.06915283203125,342.7606201171875,210.91700744628906,88.76795959472656,133.15570068359375,125.70040893554688,383.16546630859375,222.634033203125,46.24848175048828,46.29177474975586,119.44200134277344
2021-08-31,36.93880844116211,193.0353546142578,69.19102478027344,431.6553649902344,79.19266510009766,368.1133728027344,288.0104064941406,141.1409149169922,48.567840576171875,185.07064819335938,336.13934326171875,212.85316467285156,89.05791473388672,133.4886016845703,125.22550201416016,381.3059387207031,220.58322143554688,46.37373733520508,45.754669189453125,119.75273895263672
2021-09-01,36.44334030151367,192.48809814453125,69.52831268310547,432.6315002441406,78.32520294189453,368.2469787597656,287.2206115722656,140.93795776367188,48.89558792114258,184.65310668945312,339.382080078125,213.4716796875,88.95558166503906,134.78602600097656,126.50069427490234,382.2952880859375,221.56527709960938,46.273521423339844,45.125244140625,120.22797393798828
2021-09-02,36.47891616821289,199.0183868408203,69.69696807861328,436.8486328125,79.9619140625,368.99468994140625,290.85919189453125,141.5909423828125,48.9645881652832,187.12205505371094,331.33367919921875,215.01341247558594,89.39903259277344,134.8848419189453,126.5974349975586,388.1211242675781,215.84609985351562,46.51776885986328,46.224639892578125,119.97207641601562
2021-09-03,36.505584716796875,197.8418731689453,69.15553283691406,438.3459777832031,79.7818832397461,366.1549377441406,293.1665344238281,140.73497009277344,48.93008804321289,186.96774291992188,330.3143005371094,214.072265625,88.90440368652344,135.00515747070312,126.6854248046875,387.342529296875,216.74151611328125,46.73381805419922,46.04839324951172,119.6521987915039
2021-09-07,36.745697021484375,198.2083740234375,68.25898742675781,435.5503234863281,79.42998504638672,365.2735900878906,291.9330139160156,140.48794555664062,48.01582717895508,186.21432495117188,334.6636962890625,211.71478271484375,88.84471893310547,132.80506896972656,126.21048736572266,385.85858154296875,217.85841369628906,46.11383056640625,45.77984619140625,117.74208068847656
2021-09-08,36.26547622680664,195.49618530273438,69.0401382446289,441.33111572265625,78.88169860839844,360.53765869140625,294.2670593261719,139.8614044189453,48.6627082824707,185.252197265625,340.8092041015625,213.89295959472656,88.32450866699219,134.68714904785156,127.16912078857422,380.4999084472656,220.5735626220703,46.17332458496094,45.360233306884766,118.98502349853516
2021-09-09,36.39887619018555,196.03675842285156,68.61406707763672,441.55859375,78.5625228881836,360.1637878417969,294.4356384277344,140.4702606201172,48.17970657348633,184.27186584472656,341.16845703125,213.88401794433594,88.55475616455078,133.8363800048828,126.63261413574219,379.73046875,219.03305053710938,45.847679138183594,45.393798828125,118.1259536743164
2021-09-10,35.81193542480469,187.5520782470703,68.3832778930664,440.81939697265625,78.61981201171875,359.1845703125,294.59539794921875,138.85549926757812,47.96407699584961,185.47006225585938,337.2656555175781,214.3949432373047,88.36714935302734,133.60427856445312,126.75572204589844,371.2827453613281,216.5490264892578,45.68172836303711,45.301475524902344,118.71085357666016
2021-09-13,36.40776824951172,191.59288024902344,68.68507385253906,435.607177734375,80.1747055053711,364.3299865722656,297.7016296386719,141.06149291992188,48.36083984375,187.03128051757812,337.6830749511719,216.21458435058594,89.03234100341797,133.86215209960938,128.118896484375,381.0357971191406,216.27938842773438,45.42182922363281,46.46800994873047,117.94316101074219
2021-09-14,35.429542541503906,186.5991668701172,68.61406707763672,434.422607421875,78.7261962890625,359.3714599609375,295.6337890625,138.5995635986328,48.395591735839844,185.32481384277344,335.72186279296875,216.14288330078125,86.90886688232422,133.337890625,127.8990707397461,379.2156982421875,214.73886108398438,45.18385696411133,45.805023193359375,117.88829040527344
2021-09-15,35.696327209472656,189.28382873535156,68.5341567993164,436.6212158203125,80.39564514160156,357.8224792480469,295.8555908203125,139.56141662597656,48.560707092285156,186.63186645507812,334.70257568359375,216.00839233398438,87.87250518798828,134.08558654785156,127.62641906738281,383.7933654785156,215.48985290527344,45.262142181396484,47.34918975830078,117.43134307861328
2021-09-16,35.97201156616211,188.31260681152344,67.8773193359375,439.0661926269531,79.64276885986328,353.1310729980469,298.5357360839844,139.49961853027344,48.100120544433594,189.23695373535156,336.2170715332031,218.00733947753906,87.38642883300781,133.69024658203125,126.73817443847656,383.1683349609375,215.9905548095703,45.41243362426758,46.845664978027344,116.92867279052734
2021-09-17,36.0164794921875,188.40420532226562,67.66427612304688,435.4650573730469,79.18447875976562,348.4841003417969,297.8968200683594,139.13783264160156,47.309322357177734,189.73619079589844,333.04241943359375,217.3619384765625,86.77241516113281,132.4612579345703,126.94042205810547,386.2202453613281,213.5064697265625,45.31850051879883,46.29177474975586,116.15182495117188
2021-09-20,34.78035354614258,185.57293701171875,67.61102294921875,427.53302001953125,77.56413269042969,336.61761474609375,293.93865966796875,134.972900390625,46.979095458984375,186.3232879638672,329.78997802734375,214.31427001953125,84.11165618896484,132.01438903808594,125.66525268554688,379.3628234863281,211.86962890625,44.695377349853516,45.05811309814453,114.78093719482422
2021-09-21,34.79813766479492,185.4446563720703,67.80632019042969,428.45220947265625,77.62141418457031,334.57891845703125,296.61004638671875,134.9905242919922,46.97040939331055,187.23097229003906,327.54730224609375,215.57818603515625,83.83025360107422,131.95423889160156,125.8587417602539,379.0318908691406,211.9851531982422,44.783058166503906,45.016143798828125,114.1046142578125
2021-09-22,35.696327209472656,185.07815551757812,67.8418197631836,428.6606750488281,79.9046401977539,343.1517333984375,298.1275634765625,137.5760040283203,47.0399284362793,189.60911560058594,333.401611328125,217.9356231689453,85.96224975585938,132.35813903808594,126.28965759277344,375.6859130859375,214.46925354003906,44.67972183227539,46.333736419677734,114.74439239501953
2021-09-23,37.074737548828125,185.5087890625,68.0548324584961,429.0871887207031,81.88506317138672,348.8402404785156,298.1098327636719,142.22625732421875,46.96171951293945,188.78317260742188,343.7509765625,219.41465759277344,88.30744171142578,132.4612579345703,126.80850219726562,375.0699768066406,219.82257080078125,44.704776763916016,47.90308380126953,114.2234115600586
2021-09-24,37.474918365478516,186.81907653808594,68.01933288574219,443.2738952636719,82.32698059082031,347.9411315917969,299.5119934082031,143.86752319335938,46.831363677978516,188.6832733154297,347.72174072265625,220.8846893310547,87.76167297363281,132.52145385742188,126.24569702148438,374.1968078613281,222.98062133789062,44.830020904541016,48.331092834472656,114.71694946289062
2021-09-27,38.47093963623047,189.3113250732422,67.46900939941406,436.4601135253906,84.26648712158203,355.91741943359375,302.99090576171875,147.3441925048828,46.58803176879883,191.18853759765625,346.3722229003906,222.39959716796875,89.62928009033203,131.24949645996094,124.58352661132812,372.5329284667969,221.06463623046875,44.541954040527344,49.766170501708984,114.76264190673828
2021-09-28,38.38200378417969,186.2601318359375,67.30034637451172,423.94140625,84.58563995361328,346.7392883300781,296.2372741699219,146.55010986328125,45.74509048461914,186.468505859375,340.945068359375,218.5093231201172,87.01972198486328,129.81431579589844,123.64247131347656,366.420166015625,217.17478942871094,43.99398422241211,50.28649139404297,111.99344635009766
2021-09-29,38.301963806152344,186.85574340820312,68.41878509521484,428.1490478515625,84.56108856201172,342.63543701171875,299.0150146484375,146.43533325195312,46.02317428588867,187.98435974121094,342.89654541015625,218.9664764404297,84.89624786376953,130.88858032226562,124.90010833740234,368.0655212402344,218.2531280517578,43.975196838378906,50.252925872802734,112.45040130615234
2021-09-30,37.750606536865234,183.40138244628906,67.08732604980469,425.8367004394531,83.0225830078125,336.52850341796875,291.3206787109375,144.4410858154297,45.59736633300781,184.13572692871094,337.547119140625,216.12498474121094,82.9859619140625,129.26429748535156,122.94770812988281,359.1766357421875,214.46925354003906,43.643272399902344,49.363338470458984,111.7832260131836
2021-10-01,38.31086349487305,185.63711547851562,67.08732604980469,424.8700866699219,85.37946319580078,338.28228759765625,292.7406311035156,147.4765625,46.075321197509766,184.89820861816406,349.68280029296875,217.75633239746094,84.46985626220703,129.72836303710938,122.75421905517578,360.7301330566406,221.89263916015625,42.9137077331543,51.13411331176758,112.99876403808594
2021-10-04,38.54207992553711,182.7508087158203,66.62577056884766,417.1086730957031,85.6986312866211,333.074462890625,289.73211669921875,147.31777954101562,46.049251556396484,185.6334228515625,334.1685485839844,217.8907928466797,82.84954071044922,129.08377075195312,122.0594711303711,355.74798583984375,216.37567138671875,42.50038528442383,51.79710388183594,112.45040130615234
2021-10-05,39.32465362548828,184.53753662109375,66.05767059326172,422.88934326171875,86.63155364990234,343.45440673828125,292.40338134765625,149.7234649658203,46.127464294433594,185.4155731201172,333.2073974609375,219.80906677246094,84.59776306152344,129.8486785888672,122.53439331054688,361.6493835449219,215.9423828125,42.77906036376953,51.71317672729492,112.96221160888672
2021-10-06,39.342437744140625,186.23268127441406,66.66126251220703,425.82720947265625,85.87047576904297,345.44854736328125,293.1843566894531,150.04306030273438,46.674930572509766,185.1704864501953,338.5277099609375,221.4942626953125,84.51248168945312,133.1746063232422,124.170166015625,362.4031982421875,218.08953857421875,43.09218215942383,50.764862060546875,113.01703643798828
